Name,Country,Profile,Period,Commodity,TradingDate,ExpiryDate,Contract,Underlying,Maturity,DeliveryStart,DeliveryEnd,Unit,ContractVolume,Type,Strike,SettlementPrice
Phelix-DE Base Month Option,German,Base,Month,Options,2019-11-19,2020-04-27,O2BM,DEBM 2020.05,2020.05,2020-05-01,2020-05-31,EUR/MWh,744,P,38.5,2.616
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,34.5,15.424
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,35,14.964
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,35.5,14.507
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,36,14.055
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,36.5,13.607
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,37,13.164
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,46.5,6.135
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,47,5.857
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,43.5,8.014
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,44,7.677
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,44.5,7.349
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,45,7.03
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,45.5,6.722
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,46,6.424
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,40.5,10.23
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,41,9.84
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,41.5,9.457
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,42,9.083
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,42.5,8.718
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,C,43,8.362
Phelix-DE Base Quarter Option,German,Base,Quarter,Options,2019-11-19,2020-09-25,O2BQ,DEBQ 2020.10,2020.10,2020-10-01,2020-12-31,EUR/MWh,2209,P,47,3.267
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,30.5,16.475
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,31,15.986
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,31.5,15.499
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,32,15.013
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,52.5,6.987
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,33,0.129
